k,Messages,UpperBound,Time,Success
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,457300,1
2,11,11,495700,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,147500,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,76700,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,76500,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,61700,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,72800,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,64000,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,55700,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,190100,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
